year,state,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2012,Texas,Ellis County,48139,154245,116353,43219,97363,50839,24798,9529,8561,152232,1457,556,154245,76264,77981,99505,14228,37546,1019,347,1600,10541,37575,61903,73482,14168,4692,72665,6429,114340,29918,39230,85097,31349.999999999996,39288.672524820984,31454.499999999996,42714.29037631626
2012,Texas,El Paso County,48141,826861,613548,242015,489355,301343,123190,121906,112661,813684,6820,6357,826861,402755,424106,111078,24282,671144,9255,2652,6621,83044,231270,378588,338334,77704,32235,334565,36007,600371,233242,269185,324434,22990,35158.02118185138,25080,37149.083705813806
2012,Texas,Fort Bend County,48157,627267,471201,177895,395324,206316,85815,79256,67521,621468,4849,950,627267,308996,318271,222397,127457,150793,109702,1395,13500,34168,176119,238965,214203,115770,58329,298845,16924,465466,114127,101026,412114,42845,61522.92277998829,45154.45,64081.86315469911
2012,Texas,Galveston County,48167,300924,232835,74863,198502,89913,54254,16238,14730,295620,3578,1726,300924,149734,151190,175164,40190,69659,9089,363,5285,6508,72459,103452,138188,38919,20365,139321,10530,227531,50382,78535,172007,33440,47826.39287195873,36575,50931.25566625382
2012,Texas,Harris County,48201,4252456,3201760,1171022,2655918,1404986,565405,692674,630829,4215760,18005,18691,4252456,2116830,2135626,1365133,784964,1763540,271071,5121,56067,367564,1082342,1799721,1647591,527642,277502,2006063,196828,3165519,1070562,1164458,2017436,31036.499999999996,46964.82934310653,31349.999999999996,49370.21542857853
2012,Texas,Hidalgo County,48215,806449,560803,275066,443254,320043,108343,174718,158265,797464,7500,1485,806449,393260,413189,60356,3530,732763,8467,519,711,39482,251215,457363,272427,51630,25029,285956,36715,551818,298413,297201,210835,19855,30209.63244511544,20900,32031.63715005891
2012,Texas,Jefferson County,48245,252301,198616,60059,163667,78788,47057,21577,18649,234766,14655,2880,252301,130320,121981,109486,83414,45543,9482,817,3559,5102,54934,92428,125360,24947,9566,102519,13204,181351,65995,82250,104056,26125,39337.77252950694,28214.999999999996,42732.83631189888
2012,Texas,Johnson County,48251,153065,117596,41007,97815,49846,27333,6556,5812,150446,2194,425,153065,76532,76533,115451,3603,28981,1647,535,2848,996,35411,59870,78841,9158,5196,70286,7277,114977,36197,42413,74455,36575,41357.35842448478,37703.6,43514.896744031044
2012,Texas,Lubbock County,48303,285975,223548,68994,167592,107344,45567,9002,7873,274062,3695,8218,285975,141241,144734,161226,19703,93889,6016,281,4647,19281,84484,95853,140141,32494,17487,137609,11623,211857,54404,83038,148533,22990,33431.44859728173,26125,36248.94215476066
2012,Texas,McLennan County,48309,238635,185961,59406,143436,86793,43186,11811,11396,229366,4442,4827,238635,116285,122350,138373,34726,58188,3831,309,2947,11540,66635,86128,115936,26315,10256,103291,8874,177127,45396,75970,117269,25080,34442.687405483426,26125,37028.72271624467
2012,Texas,Midland County,48329,146950,109524,40287,92294,48499,23795,9069,9069,144845,1107,998,146950,72155,74795,75477,9610,58230,2341,930,362,8646,35527,56730,68207,14767,7246,72795,2716,107440,32153,32185,82612,36575,53812.06185567675,37620,56956.45834068229
2012,Texas,Potter County,48375,122385,91962,33871,76194,40256,19403,10273,9275,116046,6081,258,122385,62564,59821,58217,10169,44697,5601,788,2642,5175,27380,54517,55756,9399,2713,52300,3150,85623,34815,36794,50776,24035,31788.86663991993,25080,33289.23422132491
2012,Texas,Randall County,48381,124932,98231,30654,79835,40085,22823,3902,3866,122993,623,1316,124932,61122,63810,95408,2606,22145,2448,510,1659,3920,31538,41300,58581,19531,5520,63744,1324,96335,22246,27767,74919,31349.999999999996,41235.049699951305,33440,44467.004333591125
2012,Texas,Smith County,48423,215530,166086,54458,137194,69961,43157,13376,12516,210591,2392,2547,215530,104317,111213,132280,39360,38841,2521,373,2155,3655,50656,75676,106752,23354,9748,96193,6641,161147,46557,65029,103944,26125,40308.3619734504,28214.999999999996,42760.358624438166
2012,Texas,Taylor County,48441,133000,103069,32900,81431,46372,24388,3617,3527,127463,983,4554,133000,65388,67612,87846,9512,30713,2213,140,2472,6162,33853,46581,64880,13999,7540,60530,5375,97560,24399,44151,64450,22990,37875.23294855476,26125,43109.87524538606
2012,Texas,Webb County,48479,259315,178338,89934,140337,102593,30505,50832,45735,255856,2452,1007,259315,125954,133361,9921,215,247466,1582,0,131,10672,83068,148651,85522,18187,6955,94044,5317,174970,88227,90760,80328,22572,31332.908491578677,24035,32707.52786998185
2012,Texas,Wichita County,48485,132659,105856,29801,84826,42250,25125,3762,3658,116795,8000,7864,132659,68989,63670,89768,13754,23181,2549,764,2643,1911,27628,40236,73227,12420,6776,63361,3651,89992,29993,39883,62783,26125,36018.268660227106,30095.999999999996,38873.293234183744
2012,Texas,Williamson County,48491,456005,342305,126856,292121,143144,64998,29737,27295,452252,2769,984,456005,224210,231795,286241,28883,108177,22685,426,9298,6556,113417,154441,188643,80600,32321,221323,17701,338739,68914,93049,294042,36575,46387.28976879515,38874,49043.117986934805
2016,Texas,Bexar County,48029,1929182,1483044,500675,1225003,614904,318444,153371,140884,1897335,13224,18623,1929182,951343,977839,542686,141627,1156437,54100,2529,29531,132252,465299,738863,831761,233432,125126,907951,51437,1452046,276215,600424,1052543,28100,40233.775144129286,30000,42846.591256224
2016,Texas,Brazoria County,48039,353597,268204,94565,229572,109710,59520,23006,21533,343201,10139,257,353597,175836,177761,171415,44978,106410,21558,1227,8009,8304,82421,125126,160116,42569,25786,163787,8765,257952,52995,82365,218237,41000,52560.54431081494,45000,54599.9039168656
2016,Texas,Brazos County,48041,219254,179743,45327,115482,96091,27888,20915,19034,204457,4076,10721,219254,112060,107194,123424,23468,55157,14171,157,2460,7432,83276,64582,100171,31814,22687,105896,5059,164946,24546,45766,148942,23000,39000.87286248802,24000,41843.83248554377
2016,Texas,Cameron County,48061,422022,307656,131144,247015,154569,73154,63847,59155,418542,1878,1602,422022,204559,217463,39250,1333,377478,3269,118,574,13755,118143,220648,158357,30475,12542,155079,11921,304901,119146,158447,144429,21500,31382.753855659324,22000,32803.11714312873
2016,Texas,Collin County,48085,939109,717474,250444,613873,292633,143660,91651,81611,936313,1970,826,939109,462041,477068,547500,87589,142205,132698,2146,24257,22433,241202,299314,309764,216091,113940,483339,17863,714685,96943,154828,687338,49000,66859.95574953563,50000,69819.56916389076
2016,Texas,Dallas County,48113,2575142,1958148,686608,1642085,813967,389868,443064,404470,2545112,18185,11845,2575142,1269760,1305382,763746,574846,1026421,156595,3487,44039,159116,620269,1070881,974486,348127,181648,1291174,63640,1928603,516756,772079,1286307,30000,46323.056291588975,31900,48718.79612792002
2016,Texas,Denton County,48121,806178,624660,205688,525960,250610,114730,59644,55817,793175,4345,8658,806178,396899,409279,484045,73462,154941,64796,2560,24943,32679,201501,254545,306650,172062,72921,435545,17973,611802,74728,148773,582677,40000,58525.46927003008,43000,61608.958996174195
2016,Texas,Ector County,48135,157797,115570,47684,93613,55357,21947,11965,10873,155520,1734,543,157797,80453,77344,52822,6638,94411,1809,61,1963,7282,41306,71105,70428,13541,2723,71567,10470,113362,32654,42911,82232,30000,42914.28479072886,32000,45354.166890144625
