year,GEOID,NAME,B01001_001E,B01001_001M,B09001_001E,B09001_001M,B16008_046E,B16008_046M,B01002_001E,B01002_001M,B19083_001E,B19083_001M,B20017_001E,B20017_001M,B19301_001E,B19301_001M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,B14001_001E,B14001_001M,B14001_002E,B14001_002M,B01001_003E,B01001_003M,B01001_004E,B01001_004M,B01001_005E,B01001_005M,B01001_006E,B01001_006M,B01001_007E,B01001_007M,B01001_008E,B01001_008M,B01001_009E,B01001_009M,B01001_010E,B01001_010M,B01001_027E,B01001_027M,B01001_028E,B01001_028M,B01001_029E,B01001_029M,B01001_030E,B01001_030M,B01001_031E,B01001_031M,B01001_032E,B01001_032M,B01001_033E,B01001_033M,B01001_034E,B01001_034M,B03002_001E,B03002_001M,B03002_002E,B03002_002M,B03002_003E,B03002_003M,B03002_004E,B03002_004M,B03002_005E,B03002_005M,B03002_006E,B03002_006M,B03002_007E,B03002_007M,B03002_008E,B03002_008M,B03002_009E,B03002_009M,B03002_010E,B03002_010M,B03002_011E,B03002_011M,B03002_012E,B03002_012M
2012,28,Mississippi,2984926,NA,747669,1424,34541,3580,36.2,0.2,0.487,0.0067,24933,489,20119,303,462900,9900,121242,6608,105917,4830,328359,10041,160169,7583,249319,8849,105946,4680,24029,2594,15722,2051,2871033,3865,830938,8998,100474,2448,106248,4663,108945,3997,63699,2074,52996,3854,27281,2921,24208,2863,58932,3830,101922,2384,103948,3760,103410,3786,59023,2264,49200,3563,23571,2263,28063,3293,61038,3717,2984926,NA,2904805,2453,1717214,1296,1119168,4491,11840,1331,23816,2441,399,306,2951,1291,29417,3190,605,423,28812,3192,80121,2453
2012,29,Missouri,6021988,NA,1403706,3061,114505,5980,38.2,0.1,0.4608,0.0038,26997,208,24697,223,1086729,15435,186048,7037,304519,8244,611601,9992,287670,7236,670388,10796,284631,8950,65321,3583,42330,3216,5805261,4494,1552442,12418,192469,1917,204609,5956,202876,5860,122621,2215,88830,2708,48707,3930,43632,3212,120218,4718,182122,1970,189668,4988,193605,4551,115736,1865,83522,2359,45965,3325,44185,3471,119582,4590,6021988,NA,5800469,1600,4848758,2668,685914,5786,24778,2353,101081,3208,4480,1370,10174,2746,125284,6344,3510,1356,121774,6395,221519,1600
2012,30,Montana,1005141,NA,220140,1230,7382,1453,40.2,0.3,0.4502,0.0107,24954,643,25148,610,167970,4480,36245,2687,46900,2849,126669,5317,57590,3494,138862,5070,42619,3040,13022,1670,7426,1366,970811,1537,231634,4379,29985,761,35246,1831,28376,1999,19195,623,14289,1217,8215,1478,7715,1550,20574,1905,28854,753,30926,2146,30067,1929,17491,664,12230,937,9404,1549,6460,1310,19344,1978,1005141,NA,973676,373,876782,396,3489,1041,62422,2055,6423,1140,1140,776,453,309,22967,2404,151,139,22816,2360,31465,373
2012,31,Nebraska,1855525,NA,462802,1226,66006,3752,36.3,0.2,0.4339,0.005,28528,565,26245,283,292831,5896,41519,2610,95649,3474,194905,5948,117719,4509,233054,5600,83862,3185,20030,1746,12716,1332,1776112,2553,510963,5405,68703,1174,68716,2372,62621,2294,38266,806,26355,1461,13553,1591,12557,1374,42402,2287,63298,1089,63698,2730,63203,2402,34297,796,27034,1207,13276,1873,13701,1480,36937,2223,1855525,NA,1676641,494,1509066,1411,82713,3516,13662,1393,36372,1791,1149,1228,1689,1037,31990,3386,663,363,31327,3373,178884,494
2012,32,Nevada,2758931,NA,664422,753,279217,9630,36.8,0.2,0.4516,0.0075,29580,621,25331,397,457175,9796,72360,4132,129454,5717,353620,9028,138034,6074,272846,7751,95659,4628,27821,2388,15471,1961,2655741,2802,680801,7654,94224,1218,97127,4329,93590,4226,57020,933,35190,943,19342,2077,20787,2301,54902,2640,88688,1169,89296,3256,91439,3314,53038,833,30546,693,18549,2177,19714,2259,54837,3142,2758931,NA,2006880,NA,1455200,1000,219044,3954,25345,1751,204076,5008,17951,1640,3909,1542,81355,6477,2470,1108,78885,6381,752051,NA
2012,33,New Hampshire,1320718,NA,275022,1332,31817,2947,41.9,0.3,0.4298,0.0074,34119,912,32201,593,233128,6644,37562,2937,54390,3039,114590,5424,87025,3738,201804,6242,87156,4564,15364,1772,13567,1818,1283226,1953,323979,4497,32945,721,37519,1808,41695,1867,26933,1034,18972,806,9164,1407,9933,1811,24428,1929,32561,770,36495,2368,41473,2233,25401,767,21825,1277,11940,1763,9069,1433,20482,1828,1320718,NA,1280580,901,1212389,436,14610,1720,2179,714,29604,1863,191,193,1645,802,19962,2351,409,316,19553,2360,40138,901
2012,34,New Jersey,8864590,NA,2026738,1099,830513,18247,39.4,0.1,0.4718,0.003,38124,588,34885,275,1585222,18119,152352,6686,303963,8257,733050,12118,372831,11133,1359609,15068,597429,12358,147947,5570,87198,5010,8554824,4576,2294691,12829,267962,1089,281431,5739,301316,5915,183583,1613,116887,1922,60316,3743,62216,4156,169531,5282,258625,1351,274535,6473,283868,6301,175418,1607,112026,1880,56407,3287,51035,3532,160082,3962,8864590,NA,7223191,NA,5134994,5384,1127146,6357,11535,1695,769054,5816,2283,1590,41595,6248,136584,7984,13015,2103,123569,8166,1641399,NA
2012,35,New Mexico,2085538,NA,515848,1553,113805,6256,36.8,0.2,0.4713,0.0063,26026,382,22874,345,298375,8457,61952,4475,77980,4443,242995,6142,111952,6373,202552,8269,106967,4988,22244,2505,23525,2526,2002855,3440,572854,8312,73089,1499,77581,4096,70566,3889,43534,1760,32445,2018,15413,1920,13844,1684,45703,3058,69947,1226,71707,3089,68434,2920,40990,1609,33362,2120,13020,1649,15996,1730,39577,2351,2085538,NA,1105814,NA,827066,1054,37796,1673,180977,2431,26846,1821,1009,567,3913,1057,28207,3275,1771,701,26436,3186,979724,NA
2012,36,New York,19570261,NA,4261010,2169,1920011,21843,38.1,0.1,0.5009,0.0028,33190,332,31290,170,3081374,29170,498602,12047,613490,12111,1589218,21416,1128596,17104,2531374,22215,1371561,17637,359112,9486,181715,7468,18888881,7658,5029814,18752,596179,1869,582719,8580,613516,8309,385382,1769,283380,2327,154873,6635,146535,5196,428224,7489,568143,1680,561203,8690,585532,8772,368336,1446,277027,4316,152003,5553,143626,5758,413822,7570,19570261,NA,16016575,902,11227534,5742,2820905,13291,44447,3478,1487288,7852,7049,2839,103439,10743,325913,12202,40789,4361,285124,10898,3553686,902
2012,37,North Carolina,9752073,NA,2284002,2887,456416,11346,37.8,0.2,0.4691,0.0033,27066,184,24435,219,1475044,17802,285660,8511,416106,8721,1012715,17247,562049,12338,1170056,15868,436058,8476,92150,4202,77594,4259,9394913,7253,2550114,15371,311223,4019,330377,8165,331930,8105,192756,3679,147214,4150,75428,4720,75942,4799,202153,6571,300529,3683,320927,7083,316712,7470,179548,3204,140497,4051,73703,4630,72839,4757,190412,5604,9752073,NA,8907177,1916,6292533,4146,2075668,8930,103792,2926,225603,4372,5465,2114,19220,4117,184896,9097,6898,1701,177998,8657,844896,1916
