fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
27,Minnesota,2008,5220393,2596333,2624060,1254350,3447676,1562449,906117,4438639,243678,217551,180949,53516,78518,7542,196106,168652,1206387,297089,2053470,743182,353935,33045,45821.453007222946,27462.78161719874,37,37.125543804843815
28,Mississippi,2008,2938618,1427843,1510775,762383,1862942,949064,513333,1718147,1102220,56632,23497,12336,23594,2192,41818,38050,738635,368927,1130910,234087,129018,27096.899999999998,35939.15279610877,17557.664718151016,35,36.12828172971105
29,Missouri,2008,5911605,2885586,3026019,1411624,3919539,1755002,1107673,4864905,651097,182059,86760,18762,103235,4787,131287,111956,1335592,530797,2403042,622253,363447,28638.999999999996,39571.95728812043,21732.181489543193,37,37.5828812987336
30,Montana,2008,967440,481261,486179,227279,636598,294255,186921,848034,3357,31093,5803,60333,17135,1685,9370,8691,206256,53719,407855,121179,53845,26435.999999999996,36310.5863401665,20441.712760574297,38,37.95276813032333
31,Nebraska,2008,1783432,883046,900386,455198,1151491,555297,322077,1491377,75271,147968,31729,12054,24112,921,67087,56871,442286,113258,722061,218665,97507,28638.999999999996,37021.76768423609,21831.555151593107,36,36.809815008365895
32,Nevada,2008,2600167,1324343,1275824,667980,1713150,769081,434921,1469866,189722,672393,165967,28778,67181,6260,316037,277078,554855,285032,1052728,256985,118405,33045,44259.2076051699,24256.25482067921,36,36.003205563334966
33,New Hampshire,2008,1315809,647416,668393,294454,902372,367028,247817,1221613,9449,39123,27078,2354,14996,1196,29053,26725,289982,82976,520819,193110,105467,35248,47447.7132992703,28448.667242701256,39,38.4852961182056
34,New Jersey,2008,8682661,4251947,4430714,2047060,5854547,2496829,1590716,5342151,1137010,1424069,641742,10601,96601,30487,866853,779056,2029310,738180,3096287,1264208,755872,40865.649999999994,57561.241922569374,31946.870249799165,38,37.779173919147595
35,New Mexico,2008,1984356,979402,1004954,500313,1277947,614861,360272,825068,40574,895150,26024,165353,28119,4068,132328,117390,451483,219378,741959,176932,139678,26435.999999999996,37564.71850833873,19464.522396356548,35,36.59234834878419
36,New York,2008,19490297,9461961,10028336,4396836,13060931,5713327,3609809,11669655,2861188,3232360,1339331,52937,240879,93947,2034449,1861677,4537521,2072873,6819119,2370798,1798141,34146.5,51626.627126050895,27789.578949710743,37,37.81542738933122
37,North Carolina,2008,9222414,4511055,4711359,2241740,6084431,2755040,1620152,6183399,1943449,678023,176694,89291,130334,21224,463959,408891,2089277,999354,3486691,1072143,526243,29189.749999999996,40232.80902259596,21913.389591555908,36,36.81509949564181
38,North Dakota,2008,641481,322955,318526,136884,416387,203636,124100,576164,5514,13634,3855,34762,7395,157,8085,6049,149577,40581,270637,80953,24216,27537.499999999996,37424.13043352711,23493.378655842494,36,38.09000578349164
39,Ohio,2008,11485910,5600008,5885902,2735827,7669851,3373007,2170057,9458169,1333787,296059,182201,20148,181248,14298,222032,189806,2639248,952793,4863019,1183938,670101,30291.249999999996,40219.65175556481,21836.799815459155,38,37.83897218418044
40,Oklahoma,2008,3642361,1794926,1847435,904753,2359831,1123947,675277,2593931,257276,278676,64717,223350,221678,2733,120409,108991,841469,341907,1487964,361847,168113,27537.499999999996,36955.96869587711,19577.14631729543,36,36.859834870843386
41,Oregon,2008,3790060,1884739,1905321,874625,2576170,1063687,717458,3021167,66417,417152,135571,36090,110211,3452,231818,207329,789812,296535,1557679,460667,261289,29740.499999999996,40452.70555655599,22237.61399282729,37,37.91564803723424
42,Pennsylvania,2008,12448279,6056228,6392051,2753476,8486108,3524046,2577890,10127020,1253790,588950,300739,13371,143633,20776,341739,303032,2761295,1070831,5198917,1374409,841951,32714.55,43073.19076450985,23528.599585295564,39,39.19442028894114
44,Rhode Island,2008,1050788,506850,543938,224135,709463,305489,202157,824784,49388,120662,30435,3298,15646,6575,66361,60170,244417,118300,378511,132284,80368,33045,44415.13245966951,25189.85572581101,38,38.63824387031447
45,South Carolina,2008,4479800,2179254,2300546,1063703,2961620,1343309,848554,2908458,1261485,177999,48931,9796,64977,8154,127651,113353,1017157,489418,1766163,451914,254125,28198.399999999998,38339.89029039164,19999.437852784387,37,37.485141524175184
46,South Dakota,2008,804194,401583,402611,201529,521168,250802,156039,689380,7259,22420,5157,63220,16489,269,7525,6640,189043,51199,345611,87552,36806,27537.499999999996,35720.42582739043,21124.250845774153,37,37.59473584732042
47,Tennessee,2008,6214888,3026662,3188226,1468474,4185397,1780220,1160450,4780679,1011553,234868,81992,14388,85058,6350,170025,148817,1356956,713323,2521184,621639,329251,27537.499999999996,39261.94560818803,20956.672544183177,37,37.57649035670474
48,Texas,2008,24326974,12147252,12179722,6732247,15128848,7992369,3534990,11532911,2737925,8815582,848295,71368,279720,41173,2645208,2358208,6033609,3074206,8229807,2584812,1240023,29740.499999999996,43278.28206251983,22715.445529757173,33,34.34287018188124
49,Utah,2008,2736424,1379915,1356509,845400,1550412,1021565,342038,2237478,27848,323938,74931,27496,43212,1521,155168,134741,762966,147431,955494,303273,144214,27537.499999999996,39095.36160076845,20991.510538694845,28,31.664429196644964
50,Vermont,2008,621270,305281,315989,128054,430093,171044,124857,590028,3534,6651,5935,1719,12287,1116,10301,9354,134736,40041,247369,87658,55025,28638.999999999996,38748.887982198394,23849.28007920228,41,39.56201651455889
51,Virginia,2008,7769089,3822255,3946834,1827916,5158189,2299821,1343660,5184933,1514048,528002,375504,18713,132390,15499,429295,391825,1761249,728985,2698329,1029202,701673,35248,49963.66611649502,28609.65900744585,37,36.99815319402314
53,Washington,2008,6549224,3267465,3281759,1547510,4394303,1893258,1126392,4922150,215849,642959,450829,82720,220552,14165,457909,399331,1425065,452253,2588679,881394,471977,34366.799999999996,46946.56184428918,26292.73077819074,37,37.164919843938755
54,West Virginia,2008,1814468,888168,926300,378509,1270892,487340,395723,1692929,61702,21400,9359,2398,25668,1012,12931,10532,364457,224244,831066,130725,84857,26435.999999999996,35082.664059741976,17295.386929490352,40,39.88721432397816
55,Wisconsin,2008,5627968,2797950,2830018,1307645,3754961,1662035,1027116,4780021,315466,286382,120465,39966,79194,6474,146490,130209,1287540,383538,2415931,633675,321817,31392.749999999996,40128.97141437222,23593.157549444044,38,37.79122091667899
56,Wyoming,2008,532668,269288,263380,127953,347559,161594,92966,459892,5263,43385,3369,9062,11211,486,8402,8003,115169,29043,241134,51301,26081,30841.999999999996,41616.82844158962,25010.29429826083,36,37.007745913026504
