fips,state,st,year,d08,d10,d12,d14,d16,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage,maleprop,femaleprop,whiteprop,nonwhprop,blackprop,hispprop,asianprop,amindprop,multiprop,otherprop,lexp,health_index,hsplus,baccplus,hsprop,baccprop,gradprop,attain_score,attain_index,enrollprop,enroll_index,ed_index,inc_index,hdi,presvotes,tovep,tovap,toacs
4,Arizona,AZ,2008,1,0,0,0,0,6500180,3258698,3241482,1723615,4186386,1998264,1176631,3772865,225118,1964625,157931,269670,100176,9795,656920,578949,1468247,682030,2447661,672054,384641,31502.899999999998,42659.21106696959,21693.28534427516,35,36.095617044451075,0.5013242710201872,0.4986757289798129,0.5804246959314973,0.41957530406850274,0.034632579405493386,0.3022416302317782,0.02429640409957878,0.04148654344956601,0.015411265534185207,0.001506881347901135,78.77,5.320833333333331,3504356,1056695,0.8370838236130161,0.2524122238130932,0.09187900972342254,1.1813750571495318,4.542500380996879,0.7347612727847772,3.850322079565064,4.311774280519607,4.693141957246176,4.75736479792575,2293475,0.5670000000000001,0.491,0.5463756093935224
4,Arizona,AZ,2010,0,1,0,0,0,6413737,3188165,3225572,1632847,4146035,1998841,1242860,3703920,248009,1908923,182603,262472,101345,6465,553050,496264,1478365,599919,2468641,691587,385888,30962.399999999998,42030.88319871127,19991.182807322937,35,36.82970177916556,0.4970838373946422,0.5029161626053579,0.5774979547804969,0.4225020452195031,0.03866840813709698,0.29763038303566236,0.02847060925635086,0.04092341173328436,0.01580124036891441,0.001007992688194106,79.27,5.529166666666665,3546116,1077475,0.8553029581274639,0.25988082589751416,0.0930739851448432,1.2082577691698213,4.721718461132142,0.739611104635136,3.98888870386103,4.477441875375105,4.573159274483023,4.837659773476388,1727791,0.41,0.359,0.40325363287250743
4,Arizona,AZ,2012,0,0,1,0,0,6553255,3260107,3293148,1619974,4288994,2008306,1338520,3731418,262555,1977233,196608,259655,119206,6580,539317,496356,1501842,610939,2499980,739642,438433,29933.55,41252.563256884016,19523.01285439346,36,37.486503577229946,0.49747903904243007,0.5025209609575699,0.5693991764397998,0.43060082356020024,0.04006482274838992,0.30171769601518633,0.03000157936781035,0.03962229456964516,0.018190349681188968,0.0010040811779794927,79.35,5.562499999999998,3678055,1178075,0.8575565738725678,0.27467396783488157,0.10222280562761338,1.2344533473350627,4.8963556489004185,0.7478153229637317,4.223294941820905,4.672002079873914,4.338868147734707,4.831142355767421,2306559,0.526,0.465,0.5198553051944759
4,Arizona,AZ,2014,0,0,0,1,0,6731484,3337421,3394063,1621246,4438054,2047733,1448291,3778221,271768,2056370,216212,266858,134783,7272,556109,506706,1538421,614347,2607308,768920,447479,30234.880000000005,40714.63624299835,19445.96099144379,36,37.996918510093764,0.4957927553567683,0.5042072446432317,0.5612760871154117,0.43872391288458834,0.04037267265286525,0.3054853877688783,0.03211951480535347,0.039643264397568205,0.020022776552688828,0.0010802967072342444,79.61,5.6708333333333325,3823707,1216399,0.8615728875764017,0.27408386648742894,0.10082775018059717,1.236484504244428,4.909896694962852,0.7512800741112244,4.322287831749271,4.714027073891659,4.408311101317545,4.902719695296144,1506416,0.33399999999999996,0.295,0.32723048302911767
4,Arizona,AZ,2016,0,0,0,0,1,6931071,3445094,3485977,1628320,4632074,2050869,1589519,3835930,285723,2145655,227172,272756,154430,9405,541575,502315,1538638,613585,2691169,828605,498715,30000,42963.94180400897,20801.217659579594,37,38.54786828759942,0.4970507443943368,0.5029492556056633,0.5534397209320175,0.44656027906798246,0.04122349922544438,0.30957048340725407,0.03277588701659527,0.03935264838579781,0.022280827883598364,0.001356933149292512,79.29,5.537500000000003,4018489,1327320,0.8675355790948072,0.2865498262765232,0.10766559428886499,1.2617509996601952,5.078339997734634,0.7502370946169649,4.292488417627569,4.816389471032279,4.354241763469901,4.878833069267297,2604657,0.5489999999999999,0.489,0.5425875899605785
5,Arkansas,AR,2008,1,0,0,0,0,2855390,1398559,1456831,699176,1873421,869678,569885,2156502,443661,155309,31690,15874,50119,2235,69557,61579,645505,335797,1181576,236079,119969,25775.1,34985.94153149885,17721.543742391055,37,37.555212422821405,0.4897961399318482,0.5102038600681518,0.7552390391505188,0.24476096084948118,0.155376673589247,0.05439151919702737,0.011098308812456442,0.005559310637075846,0.017552418408693735,7.827302049807557e-4,75.35,3.8958333333333313,1537624,356048,0.820757320431446,0.19005231605709555,0.06403739469131604,1.0748470311798575,3.83231354119905,0.7422344821876603,4.063842348218866,3.9094898102056552,3.3018930979711634,3.691145411044702,1086617,0.525,0.5,0.5187619800108372
5,Arkansas,AR,2010,0,1,0,0,0,2921606,1431253,1490353,709524,1919859,887375,592051,2176371,462490,181598,37361,18300,40494,4992,94875,81613,675702,326289,1217154,251879,124537,26539.199999999997,35583.4033729871,17267.936031886093,37,37.73076041054132,0.4898856998513831,0.5101143001486169,0.7449228266918948,0.2550771733081052,0.1582999213446303,0.06215690959013638,0.012787829707359583,0.0062636782646256885,0.013860185117363533,0.0017086492839896961,76.01,4.170833333333335,1593570,376416,0.8300453314540287,0.19606439847926332,0.06486778456126205,1.090977514494554,3.9398500966303596,0.7614616143118749,4.613188980339283,4.164296391200001,3.504433435006415,3.9336353172232683,781333,0.375,0.353,0.3667422525274951
5,Arkansas,AR,2012,0,0,1,0,0,2949131,1447681,1501450,710185,1948872,885594,611247,2182104,459526,197146,41820,14439,52984,1112,85596,76734,663812,290256,1244826,270979,142811,26257.5,35700.532890575196,16982.421351637076,37,37.9495132633986,0.49088392479004833,0.5091160752099517,0.7399142323620077,0.2600857676379923,0.15581742553993025,0.06684884462575585,0.014180448410057065,0.0048960185220663305,0.017965970314645228,3.7706022553762446e-4,75.85,4.104166666666664,1658616,413790,0.8510646158393163,0.21232282058544635,0.07327879922334561,1.1366662356481083,4.244441570987389,0.7495669573190423,4.273341637686924,4.2540749265539,3.430449904673,3.912554514773069,1069468,0.507,0.47700000000000004,0.49461754906549404
5,Arkansas,AR,2014,0,0,0,1,0,2966369,1454228,1512141,706853,1969913,891339,645214,2176436,465115,205487,44406,15877,55385,3663,102426,92833,669923,283863,1265225,276940,143885,25280.000000000004,36587.331139515896,17298.459573306493,37,38.31878232276564,0.49023840257230306,0.509761597427697,0.7337037300484195,0.2662962699515805,0.1567960695382132,0.06927223147221401,0.014969816634410622,0.005352334790445828,0.018670974514633884,0.0012348430016629758,75.97,4.154166666666666,1686050,420825,0.8559007428246831,0.2136261855218987,0.07304129674762286,1.1425682250942046,4.283788167294698,0.7515917064102434,4.331191611721241,4.2995893154368785,3.1674253070042373,3.8388907954949083,848592,0.401,0.375,0.3916548936784938
5,Arkansas,AR,2016,0,0,0,0,1,2988248,1470739,1517509,705780,1990062,886201,670061,2174281,467540,214942,47983,17554,63568,2380,89173,82868,673170,282160,1268080,277229,162593,28000,38788.36560528427,18571.838351100712,37,38.52372661171361,0.4921743442980636,0.5078256557019364,0.7276106266949731,0.2723893733050269,0.15645957095930457,0.07192910360853584,0.016057234874749353,0.005874345101209806,0.021272665454808302,7.96453306419012e-4,75.78,4.075,1707902,439822,0.8582154726837656,0.22100919468840668,0.08170247962123793,1.1609271469934104,4.406180979956069,0.7596132254420837,4.56037786977382,4.4575799432286525,3.875914554141853,4.129210116460833,1130635,0.528,0.494,0.5140184579014366
6,California,CA,2008,1,0,0,0,0,36756666,18383499,18373167,9348981,23540945,11595940,5742817,15452381,2191268,13434896,4601761,158668,805226,112466,5477903,4988564,9003943,4645794,11928449,4430945,2535757,33045,49821.94545543125,26067.44532074168,34,35.57102012462175,0.5001405459352597,0.49985945406474025,0.42039669756772824,0.5796033024322718,0.0596155266095135,0.3655091024849751,0.12519527750422196,0.0043167135996501965,0.02190693791433641,0.0030597443195745774,79.91,5.7958333333333325,18895151,6966702,0.802650488330014,0.2959397764193408,0.10771687372788136,1.2063071384772361,4.708714256514908,0.7764737485706205,5.042107102017729,4.819845205015848,5.024474374235065,5.196926063221116,13561900,0.609,0.495,0.6049255900800036
6,California,CA,2010,0,1,0,0,0,37349363,18566924,18782439,9303929,24102957,11775389,6153878,14949422,2156811,14091992,4975618,151309,952561,71650,5500013,5022161,9244033,4622369,12224749,4611476,2644363,33174,49087.34370483375,24249.916508568807,35,36.02164192197869,0.49711487716671365,0.5028851228332863,0.40025908875607863,0.5997409112439214,0.057746928642397465,0.3773020707207242,0.13321828273215797,0.0040511802035285045,0.02550407620071057,0.0019183727444026287,80.61,6.0875,19480588,7255839,0.8082239867913302,0.3010352215290431,0.10971114457035293,1.2189703528907263,4.793135685938175,0.7850299467813759,5.286569908039313,4.9576137599718875,5.051486483811071,5.3420787518849915,10095485,0.44,0.358,0.43849043530865484
6,California,CA,2012,0,0,1,0,0,38041430,18910864,19130566,9229544,24782263,11802809,6580287,14904694,2150597,14539578,5157728,145524,1060400,82909,5388411,4991008,9253093,4607242,12497982,4887704,2789335,31509,48172.720452053654,23836.28242563214,35,36.4771529882026,0.4971123325279833,0.5028876674720167,0.39180162259936074,0.6081983774006392,0.05653302202362004,0.38220377099388747,0.13558186429900243,0.003825408245694234,0.027874872211691305,0.0021794396267437897,80.89,6.2041666666666675,20175021,7677039,0.8140911505942778,0.3097795790481281,0.11255368406024906,1.236424413702655,4.909496091351033,0.7839737981017909,5.2563942314797405,5.025128804727268,4.694484283617369,5.269946195265223,13038547,0.551,0.451,0.5473579521292204
6,California,CA,2014,0,0,0,1,0,38802500,19257750,19544750,9145212,25656250,11679025,7098536,14851728,2142698,14990679,5445501,132960,1144693,94241,5340388,4971274,9130029,4598400,12923883,5111136,3022831,30336.000000000004,48875.361484846646,24589.634708655823,35,36.98082298820952,0.49630178467882224,0.5036982153211778,0.382751833000451,0.617248166999549,0.055220617228271374,0.38633281360737065,0.14033892146124605,0.0034265833387024033,0.02950049610205528,0.002428735261903228,81.31,6.379166666666668,21057850,8133967,0.8207688185140073,0.3170364725943971,0.11782045310596834,1.2556257442143728,5.0375049614291525,0.7817458221041568,5.19273777440448,5.089249232420928,4.431459685948607,5.239881801703168,7317581,0.299,0.247,0.29642618690891126
6,California,CA,2016,0,0,0,0,1,39250017,19497412,19752605,9088650,26310755,11494533,7564855,14728382,2162764,15280629,5629487,126998,1217211,104546,5309449,4949232,9055469,4624768,13011664,5446174,3228149,33000,52482.810141762486,26953.20459904514,36,37.44772051945864,0.4967491351659797,0.5032508648340204,0.3752452387472851,0.6247547612527149,0.055102243649983645,0.389315219914427,0.14342635826119515,0.0032356164329814174,0.03101173179109706,0.002663591203030562,81.16,6.316666666666665,21685987,8674323,0.8242251885208159,0.3296873464862563,0.12269313442354657,1.276605669430619,5.177371129537459,0.7878066033652694,5.365902953293413,5.240215070789444,5.015026730725233,5.4958740902603616,14181595,0.565,0.47,0.5624908402243602
8,Colorado,CO,2008,1,0,0,0,0,4939456,2487828,2451628,1206433,3264004,1467102,754394,3500684,171260,993198,133977,32809,98273,9255,339051,297322,1118415,366468,1736064,751924,409548,33045,46100.267233774604,27155.438751625683,35,35.91820374551368,0.5036643711372264,0.49633562886277355,0.7087185309475376,0.29128146905246244,0.034671834307259744,0.2010743693232615,0.0271238371189054,0.006642229427694062,0.019895510760699155,0.0018736881146425841,79.44,5.6,2897536,1161472,0.8877244022985266,0.3558427011731603,0.12547411093858954,1.3690412144102764,5.793608096068509,0.7623294085891779,4.637983102547939,5.408399764894986,5.024474374235065,5.3388675811849895,2401361,0.71,0.647,0.6989435343762452
8,Colorado,CO,2010,0,1,0,0,0,5049071,2534478,2514593,1229021,3329273,1520040,825234,3529193,187330,1048707,137723,26201,115546,4371,310770,277547,1179908,336918,1773939,788381,430035,33174,45999.415797962116,25641.79232977575,36,36.331071795187675,0.5019691741312412,0.49803082586875885,0.6989786834053234,0.30102131659467657,0.03710187478052893,0.20770296159432103,0.02727689905727212,0.005189271452114656,0.022884605900768677,8.657038096711256e-4,80.09,5.870833333333335,2992355,1218416,0.8988013298999511,0.3659705887741858,0.12916783934510628,1.3939397580192432,5.959598386794954,0.7762348359253703,5.035281026439153,5.651492600009687,5.051486483811071,5.513499886740377,1787730,0.506,0.465,0.5046516544940117
8,Colorado,CO,2012,0,0,1,0,0,5187582,2604887,2582695,1231159,3445907,1541813,900909,3601669,202818,1088145,152699,29587,105827,6837,309864,276668,1190324,331755,1819034,816830,478288,31509,45760.37767274794,25633.37235227707,36,36.76734440053188,0.5021389541408695,0.4978610458591305,0.694286663805989,0.305713336194011,0.039096827770626084,0.20975957584863236,0.029435486513755348,0.00570342791689847,0.020400063073701773,0.0013179550703969595,80.31,5.9625,3114152,1295118,0.9037249119027299,0.3758424124620891,0.13879887066017743,1.4183661950249964,6.122441300166642,0.7720287739174595,4.915107826213129,5.719996808848803,4.694484283617369,5.430052426463081,2569522,0.6990000000000001,0.645,0.6982861630733568
8,Colorado,CO,2014,0,0,0,1,0,5355866,2691122,2664744,1247332,3586950,1570439,1002462,3686400,205396,1136022,157835,30622,131553,8038,314640,290384,1209774,339249,1884589,864972,498140,32358.4,46750.346567501365,26391.617623788497,36,37.187380154768626,0.5024625336033426,0.4975374663966574,0.6882920521163151,0.31170794788368494,0.03834972719631148,0.2121079952336373,0.029469557304084903,0.0057174694064414605,0.024562414369590276,0.0015007843736195043,80.25,5.9375,3247701,1363112,0.9054213189478526,0.380019793975383,0.1388756464405693,1.424316759363805,6.162111729092033,0.7703412867357471,4.866893906735632,5.7303724549732316,4.878904908108001,5.49586777642115,2041020,0.537,0.494,0.5345573117871221
8,Colorado,CO,2016,0,0,0,0,1,5540545,2790068,2750477,1259927,3743681,1597503,1072282,3798024,221204,1180593,178173,26386,130082,6083,324935,298139,1201855,321817,1925363,928738,567763,35000,49004.75283957272,27824.02537512104,36,37.52566254763746,0.5035728434657601,0.49642715653423986,0.6854964628930909,0.31450353710690915,0.03992459225581599,0.21308246751898957,0.032158027775245936,0.0047623473864033235,0.023478195737061967,0.0010979064333923828,80.09,5.870833333333335,3421864,1496501,0.9140372804199931,0.3997405227635581,0.15165902222972524,1.4654368254132764,6.436245502755176,0.7523334854457238,4.352385298449251,5.7416254346532005,5.422967602946497,5.675322423499884,2780247,0.7,0.6459999999999999,0.6981196887667205
9,Connecticut,CT,2008,1,0,0,0,0,3501252,1709294,1791958,812037,2359593,1017319,666519,2578281,314182,424191,119313,6293,47930,11062,253885,231466,826485,269230,1248370,485842,356151,39654,58180.53703476347,33198.460646320804,39,38.33300573623379,0.48819507993140737,0.5118049200685926,0.7363882976718042,0.26361170232819575,0.08973418651385276,0.12115409002265476,0.0340772386563435,0.0017973570597032147,0.013689388824340551,0.0031594412513009634,80.3,5.958333333333332,2090363,841993,0.8858998140781058,0.3568382343904224,0.15093747099605737,1.3936755194645856,5.95783679643057,0.8124147882817484,6.068993950907098,5.994889181256079,6.288508753179434,6.078800282121494,1646792,0.6659999999999999,0.604,0.6700407568063297
9,Connecticut,CT,2010,0,1,0,0,0,3577073,1732193,1844880,815045,2434145,1024453,717197,2540845,335261,481548,133788,4404,66697,14530,247109,226044,838520,277448,1293000,483576,380121,38702.99999999999,56555.34222767764,31106.266363618688,39,38.86678354062106,0.4842487139625051,0.5157512860374949,0.7103139913555021,0.2896860086444979,0.09372495333475163,0.13462068009235484,0.037401529127306044,0.0012311742030425435,0.018645691603162696,0.004061980283880145,80.73,6.137500000000001,2156697,863697,0.8860182938978574,0.3548256163868627,0.1561620199289689,1.3970059302136888,5.980039534757925,0.8185050949140663,6.243002711830466,6.067693927115438,6.120212323287667,6.1083965036050225,1153115,0.45899999999999996,0.41700000000000004,0.45470121262594715
9,Connecticut,CT,2012,0,0,1,0,0,3590347,1746365,1843982,793378,2456135,1021531,746811,2514031,343281,510514,147506,5825,59024,10166,257427,235372,836666,248242,1294269,506752,406872,37810.8,56779.90365876936,31207.42230574524,40,39.273746242354854,0.4864056315448061,0.5135943684551939,0.7002195052455933,0.2997804947544067,0.0956122068424027,0.1421907130424998,0.0410840512073067,0.0016224058565926915,0.016439636614511078,0.0028314811910937856,80.91,6.212499999999999,2207893,913624,0.8989298226685423,0.37197629609121646,0.16565538946352704,1.4365615082232859,6.24374338815524,0.8190314341904456,6.258040976869874,6.248509251060118,5.958518662561739,6.138473343843484,1558960,0.613,0.556,0.608589095005967
9,Connecticut,CT,2014,0,0,0,1,0,3596677,1752696,1843981,773218,2477864,1013446,778428,2466044,350507,540224,151838,5137,70953,11974,257446,233767,821938,245122,1292522,527190,413030,37586.304000000004,57324.60150153709,31830.981300384108,40,39.66672625871047,0.48730981403111817,0.5126901859688818,0.6856451107508403,0.31435488924915966,0.09745301009793206,0.1502008659660014,0.0422161901110386,0.0014282628103663465,0.019727376130800736,0.003329184133020563,81.12,6.3000000000000025,2232742,940220,0.9010752809678013,0.3794477824448799,0.16668792153241663,1.4472109849450978,6.314739899633985,0.811032852268399,6.029510064811402,6.2196632880264575,5.917232350877979,6.143398426732019,1089880,0.423,0.385,0.4208531362030697
9,Connecticut,CT,2016,0,0,0,0,1,3576452,1745910,1830542,748701,2470018,1002234,816300,2411546,358403,560669,161037,4795,67292,12710,246124,221949,809238,230568,1280952,545957,412541,40000,58709.90371867004,33131.21397379302,40,40.08673568106044,0.4881681621897903,0.5118318378102097,0.6742844584521196,0.3257155415478804,0.1002118859696705,0.15676681806438336,0.045027026785205,0.0013407142050277762,0.018815295158441943,0.003553801365151832,80.89,6.2041666666666675,2239450,958498,0.9066533118382133,0.38805304252843503,0.16701943062763105,1.4617257849942795,6.411505233295197,0.8074341920150384,5.92669120042967,6.249900555673355,6.348740034433939,6.267312776198975,1644920,0.637,0.583,0.6312528733955995
10,Delaware,DE,2008,1,0,0,0,0,873092,422658,450434,207359,576866,260404,171384,591642,175526,62506,24285,2755,15406,972,44159,37023,201134,76247,347074,90564,62981,33045,45247.89963944001,25168.98067438368,37,37.59351477278454,0.4840933143357172,0.5159066856642828,0.6776399279800983,0.3223600720199017,0.20103952389897056,0.07159153903597788,0.027814938173754886,0.0031554521173026437,0.017645334054143206,0.0011132847397525118,77.68,4.86666666666667,500619,153545,0.8678254568651992,0.2661709998509186,0.10917786799707384,1.2431743247131917,4.954495498087945,0.772392129153162,4.925489404376059,4.944826800183982,5.024474374235065,4.944902964185649,412398,0.6559999999999999,0.606,0.6559431216300043
10,Delaware,DE,2010,0,1,0,0,0,899769,435727,464042,205695,603115,265131,179345,588251,189587,73868,27202,2419,17222,1220,36441,33318,208472,76367,361002,97941,67805,33174,45197.76006032106,23541.18204909393,38,38.292056072169636,0.4842654058986251,0.5157345941013749,0.6537800257621679,0.34621997423783213,0.21070630350678896,0.08209662702315816,0.030232204043482272,0.002688467817851026,0.01914046827574633,0.0013559035708053957,78.26,5.108333333333336,526748,165746,0.8733790404815002,0.27481657726967496,0.11242466196330717,1.2606202797144823,5.070801864763216,0.7862980941496845,5.322802689990987,5.1548021398391395,5.051486483811071,5.104699028377557,307402,0.475,0.441,0.46522770886681314
10,Delaware,DE,2012,0,0,1,0,0,917092,445911,471181,204974,617457,265112,196106,590054,190675,78597,30122,2218,22138,3288,40822,37145,205574,72487,358433,117335,69202,32559.3,43186.75628066373,22855.60058542796,39,38.82949475079926,0.4862227562774509,0.5137772437225491,0.6433967366414711,0.3566032633585289,0.2079126194536644,0.08570241589720551,0.032845123499060075,0.0024185141730600638,0.024139344798558924,0.0035852455369799322,78.6,5.249999999999998,544970,186537,0.8826039708028252,0.3021052478148276,0.11207582066443493,1.2967850392820877,5.311900261880584,0.7754232173571924,5.012091924491213,5.211964149417461,4.921815950023642,5.125804415196995,413921,0.623,0.578,0.6132408259293335
10,Delaware,DE,2014,0,0,0,1,0,935614,454533,481081,204238,638829,266227,208961,594164,200072,82970,36433,3623,16666,1686,41992,38642,206635,69484,375705,114560,79080,33369.600000000006,45024.38894346515,23670.61087908817,39,39.26644107505873,0.4858125252507979,0.5141874747492021,0.6350524895950681,0.3649475104049319,0.21384032303920206,0.0886797333088218,0.03894020397300596,0.0038723234154255924,0.01781290147432595,0.0018020251941505791,78.88,5.366666666666665,569345,193640,0.891232238987272,0.30311710958644644,0.12378899517711313,1.3181383437508316,5.454255625005544,0.7761609453586601,5.033169867390289,5.313893705800459,5.092244653203939,5.256244778259906,234038,0.34299999999999997,0.318,0.3378468503061781
