year,state,statefip,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc
2012,North Carolina,37,9752073,7720755,2282478,6494339,2900377,1907877,518809,465378,9497151,115278,139644,6485569,4751964,5000109,6290894,2079382,845420,231122,101646,185945,249477,2214250,3403135,4494035,1244360,610543,4363748,510346,7468455,1607864,3121904,5022305,28214.999999999996,39045.83078308867,25080,36713.99712793194
2016,North Carolina,37,10146788,8119332,2294158,6879382,2914387,2188430,464925,425566,9890826,112047,143915,6856761,4932199,5214589,6440080,2152854,930564,281134,106458,218132,300162,2221191,3302872,4646319,1443766,753831,4721856,313273,7865640,1065288,3542976,5538524,30000,42405.67315599127,26000,39840.65501828628
2008,North Dakota,38,641481,523269,136884,416387,203636,124100,8085,6049,614274,10630,16577,139863,322955,318526,576164,5514,13634,3855,34762,7395,4579,149577,185924,340920,88709,25928,363454,12900,496203,60040,153846,427595,27905.000000000004,37923.571847392624,26900.420000000002,37311.59213853518
2012,North Dakota,38,699628,560177,153362,458420,217073,141915,12816,9728,674073,9538,16017,156398,359242,340386,616174,11476,16459,10738,35847,8635,4850,159862,198613,360193,100876,39946,378758,13078,534747,75048,164670,459910,31349.999999999996,46486.87573547344,31140.999999999996,46009.47524838783
2016,North Dakota,38,757953,600753,173062,498682,224425,153782,13665,12482,731853,9828,16272,175117,390642,367311,644997,19632,24370,6891,44091,17823,7508,158607,221492,380099,118499,37863,414143,13934,575238,61240,200612,496101,35000,44475.11923347856,32000,43929.50778914185
2008,Ohio,39,11485910,9079393,2735827,7669851,3373007,2170057,222032,189806,11171144,175234,139532,9062315,5600008,5885902,9458169,1333787,296059,182201,20148,181248,73197,2639248,3842149,5701789,1266800,675172,5556336,423290,8768087,1322790,3229585,6933535,30695.500000000004,40756.40062602038,27905.000000000004,38704.4594025203
2012,Ohio,39,11544225,9201600,2652169,7781265,3366000,2423482,222490,199282,11236863,164642,142720,8802617,5635040,5909185,9302094,1396811,371000,201136,20657,232949,91015,2618163,3667922,5814152,1345614,716537,5289290,523852,8895490,1368925,3750613,6424687,29259.999999999996,39677.72735459726,25403.949999999997,36996.086956442625
2016,Ohio,39,11614373,9324727,2606575,7924435,3279015,2654689,233653,213131,11301148,165484,147741,8896487,5697591,5916782,9216593,1428687,416341,233826,13810,286092,107714,2511117,3531985,5775425,1477149,829814,5563255,332065,9014167,685967,4409385,6519021,30000,42139.45163189021,27600,39881.8675422326
2008,Oklahoma,40,3642361,2844149,904753,2359831,1123947,675277,120409,108991,3527094,68882,46385,1736014,1794926,1847435,2593931,257276,278676,64717,223350,221678,82024,841469,1312614,1776542,383630,169575,1737482,83237,2731013,686222,1089363,1866776,27905.000000000004,37449.16228628057,25002.88,36058.8031292835
2012,Oklahoma,40,3814820,2975833,936722,2496297,1166508,745688,146814,131785,3704904,62388,47528,2034347,1889255,1925565,2586255,269919,356077,72677,278392,247763,90663,867933,1327832,1864279,413839,208870,1719362,117262,2867049,710800,1245401,1858619,27587.999999999996,38006.90351530423,24557.5,35662.7586518336
2016,Oklahoma,40,3923561,3064066,962141,2572700,1193485,819088,142171,131765,3813693,62331,47537,2136782,1944756,1978805,2594630,276547,404840,80933,284194,277910,109403,902647,1335726,1904783,462033,221019,1753268,109546,2956144,556209,1364167,2003185,30000,41226.229276681945,25810,38092.04020380751
2008,Oregon,41,3790060,3015421,874625,2576170,1063687,717458,231818,207329,3708440,41007,40613,2661682,1884739,1905321,3021167,66417,417152,135571,36090,110211,98088,789812,1224819,1814606,487858,262777,1836903,131664,2936013,617031,945875,2227154,30137.4,40992.56463207245,27905.000000000004,40101.373261689456
2012,Oregon,41,3899353,3132384,860266,2675137,1093104,832667,218728,200373,3812933,36343,50077,2733178,1937639,1961714,3027891,65514,473115,163183,41303,123251,129841,836956,1163356,1901400,525346,309251,1734436,216528,3046735,575485,1268373,2055495,27169.999999999996,39432.87003750534,25080,37767.48365648839
2016,Oregon,41,4093465,3331971,865952,2855518,1101711,969443,214438,200193,4004687,36432,52346,2893384,2032558,2060907,3117131,73476,522518,185268,38681,149688,126548,830724,1184088,1942280,602380,364717,1941752,119463,3243703,265013,1639655,2188797,30000,43215.414891084234,27500,41723.33716746038
