fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,pop60o,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,noncit18o,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
25,Massachusetts,2016,6811885,3309730,3502155,1377484,4729427,1873225,1516468,4929562,461720,780931,439489,8792,136391,55000,531504,485644,1518075,449367,2256137,1126656,897267,40000,56270.361121144124,32497.26485737795,39,39.62204030161989
26,Michigan,2016,9928300,4880303,5047997,2185729,6769613,2827989,2269488,7473674,1356326,491941,293266,42829,254765,15499,324143,285779,2201824,652689,4208873,1155564,752487,30000,42899.052544593505,22236.374130012187,39,39.47626471802826
27,Minnesota,2016,5519952,2743121,2776831,1283431,3739904,1580790,1177063,4444642,318873,283804,268077,58774,136377,9405,214849,193466,1247000,266215,2185460,855545,432684,35500,48448.91023208865,28116.837512717502,38,38.569535930747215
28,Mississippi,2016,2988726,1439765,1548961,722717,1956643,917143,632169,1697517,1132301,87130,27373,12307,29787,2311,36214,33661,712991,313341,1214788,264411,164103,28000,37753.621042973384,17371.97485784913,37,37.835068855425355
29,Missouri,2016,6093000,2999650,3093350,1389424,4121639,1753196,1361688,4851442,698948,243834,124425,26144,136125,12082,130373,119018,1349943,425482,2519297,737951,438909,30000,41787.91679654927,21991.333860331528,38,38.9554967996061
30,Montana,2016,1042520,524227,518293,228642,710746,297794,259350,901468,2755,36696,9147,64316,28081,57,11730,10998,216492,54213,433919,152499,70115,26500,37679.077963207026,20481.264143613553,40,40.023497870544446
31,Nebraska,2016,1907116,950143,956973,471820,1246623,582813,405226,1521029,86366,201976,45156,12813,38781,995,91114,79576,451524,114832,728683,269958,133150,30000,42056.712902726926,24095.045462363065,36,37.683156137329874
32,Nevada,2016,2940058,1474295,1465763,676543,2007471,826517,622096,1463777,250522,836940,257272,26386,99129,6032,307365,287482,609766,281081,1257082,305150,164158,30000,42409.90626438271,21811.36935291753,37,38.22957608319292
33,New Hampshire,2016,1334689,667334,667355,260834,948446,347835,320713,1209570,15938,47466,34379,1461,24635,1240,35180,30061,275000,65944,534725,211393,136384,35000,48761.25330249921,29316.222273503416,42,41.05944156279103
34,New Jersey,2016,8944469,4368680,4575789,1982347,6167057,2467595,1929959,4969524,1136413,1786914,849456,8517,153693,39952,903964,828702,2000168,668229,3111240,1454812,932776,40000,59707.189553881915,32074.473804537753,39,39.24241316058002
35,New Mexico,2016,2081015,1028641,1052374,486671,1390329,618500,469582,788539,37767,1010310,32198,177622,31116,3463,115802,105588,465816,199713,809934,217265,163417,26800,38381.63663909378,18524.662302770525,37,38.63273546802882
36,New York,2016,19745289,9592192,10153097,4173030,13661783,5396538,4261949,10958551,2841644,3749158,1662419,41218,381148,111151,2033499,1870835,4277391,1872183,6918403,2750265,2120932,35000,54324.37525753102,28624.32296523996,38,39.056934644005466
37,North Carolina,2016,10146788,4932199,5214589,2294158,6879382,2914387,2188430,6440080,2152854,930564,281134,106458,218132,17566,464925,425566,2221191,880542,3902396,1347953,748491,30000,42405.67315599128,21680.34205356414,38,38.692244777362056
38,North Dakota,2016,757953,390642,367311,173062,498682,224425,153782,644997,19632,24370,6891,44091,17823,149,13665,12482,158607,43658,309616,108393,37015,35000,44475.11923347857,26569.29083201729,35,37.5193369509719
39,Ohio,2016,11614373,5697591,5916782,2606575,7924435,3279015,2654689,9216593,1428687,416341,233826,13810,286092,19024,233653,213131,2511117,786232,4938548,1375859,823796,30000,42139.45163189021,22411.191039757377,39,39.352267315678596
40,Oklahoma,2016,3923561,1944756,1978805,962141,2572700,1193485,819088,2594630,276547,404840,80933,284194,277910,4507,142171,131765,902647,310352,1605352,437812,219184,30000,41226.229276681945,20434.395491493568,36,37.589723977784466
41,Oregon,2016,4093465,2032558,2060907,865952,2855518,1101711,969443,3117131,73476,522518,185268,38681,149688,6703,214438,200193,830724,277459,1647485,568991,361583,30000,43215.41489108423,22965.35146288047,39,39.641824224709374
42,Pennsylvania,2016,12784227,6259953,6524274,2664966,8929577,3439881,3084314,9829121,1355439,898332,423100,17642,242498,18095,398878,353126,2651510,899986,5275280,1681218,1073093,32000,45693.306233053554,24281.491417744695,40,40.36783193852862
44,Rhode Island,2016,1056426,510780,545646,208694,732652,291999,241748,768390,59982,157949,37576,2773,23990,5766,67058,60272,230220,85037,395377,152417,99821,35000,46683.056401822774,25686.461314848366,40,40.06255525706486
45,South Carolina,2016,4961119,2406185,2554934,1099814,3387899,1398769,1153650,3161257,1332396,273209,78307,12434,91290,12226,147467,133364,1066285,454303,2001950,605250,326396,29000,39684.62410675706,20028.730412433164,39,39.234954855950846
46,South Dakota,2016,865454,435923,429531,213902,565146,263283,192768,713617,13026,32249,12876,75978,17642,66,20303,17475,202665,48471,349196,115183,52296,30000,40895.000430197404,23060.760157096738,36,37.97819063751511
47,Tennessee,2016,6651194,3243960,3407234,1502677,4529601,1882535,1462483,4933056,1106549,346102,121271,14943,122492,6781,209342,185324,1405219,593123,2750774,753804,431900,30000,41246.52121450822,20781.25779506657,38,38.81238872298718
48,Texas,2016,27862596,13832319,14030277,7286776,17791466,8874477,4800790,11841697,3273703,10885507,1294277,66228,461936,39248,2972312,2718680,6777755,3033621,9612300,3364543,1781002,30000,46297.4967950158,23700.79202889063,34,35.67226485285146
49,Utah,2016,3051217,1539485,1511732,921098,1783485,1117097,456659,2400503,30598,420634,99862,23380,72400,3840,151960,141823,865645,144323,1061921,378386,198855,30000,42119.87684584489,21964.20599255969,30,33.01850868030691
50,Vermont,2016,624594,308172,316422,119999,439459,169608,162799,581601,5629,12188,7721,3110,13529,816,9043,8512,129242,35770,245022,93930,64737,32000,42141.53274897856,24535.650946054557,42,41.316123753990595
51,Virginia,2016,8411808,4136015,4275793,1864204,5724472,2392822,1736845,5235781,1575450,760097,533169,18647,264244,24420,491729,444982,1848137,623260,2917508,1245547,938157,35500,52444.747444253415,28972.06673012508,38,38.4475278085282
53,Washington,2016,7288000,3636099,3651901,1624757,5001679,2021677,1538410,5055730,255873,905438,628204,80234,352970,9551,535901,485252,1507773,462792,2794004,1098486,646397,35400,51256.76902736716,27706.748199917674,37,38.44201673984632
54,West Virginia,2016,1831102,905297,925805,376524,1291927,475686,476817,1684552,69754,26154,14480,2446,29152,4564,18409,17159,353284,178887,840444,162084,110512,27800,37782.74977426489,17433.896039652624,42,41.0556522793378
55,Wisconsin,2016,5778709,2865240,2913469,1282032,3934559,1640235,1306216,4717930,354144,388055,158567,47798,108106,4109,163536,145076,1268429,306272,2454469,773932,399886,32000,42693.406468571186,24225.347657063194,39,39.37283206335533
56,Wyoming,2016,585501,296804,288697,140140,390977,170570,129432,493453,4539,56875,5855,13684,11095,0,12463,11737,132207,26402,260832,67042,36701,30000,41008.1366576114,22479.434969368114,37,38.0773183991146
