fips,state,year,poptotal,malepop,femalepop,popu18,pop25o,pop324,whitepop,blackpop,hisppop,asianpop,amindpop,multipop,otherpop,noncit,enroll,nohs,hs,bacc,grad,incmed,incmean,incpc,medage,meanage
16,Idaho,2010,1571450,788698,782752,428897,988168,510205,1320613,8059,177040,23889,16154,25445,250,59650,386859,114338,632380,165804,75646,25433.399999999998,35135.2572283046,17842.397057895956,34,35.81738012663463
17,Illinois,2010,12843166,6298936,6544230,3123757,8468591,3873782,8169759,1835678,2037316,585722,16566,182133,15992,997844,3097135,1107421,4746467,1634442,980261,33174,46754.23761276063,24263.946958882112,36,37.020728923070834
18,Indiana,2010,6490621,3197594,3293027,1604585,4236616,2008582,5288698,585582,389713,102206,12778,103652,7992,193389,1544177,554973,2715474,621681,344488,28750.799999999996,38723.428798514324,19910.833494144917,36,37.12294308972901
19,Iowa,2010,3049883,1505682,1544201,722835,2020095,918568,2700389,93280,151407,49212,6172,46820,2603,86665,720046,191274,1320843,341937,166041,29303.699999999997,37461.393257421456,21356.818821165663,38,38.35556806605368
20,Kansas,2010,2859169,1413325,1445844,725339,1839277,894299,2232758,159871,301283,70465,22005,72003,784,125410,698832,202506,1083611,356279,196881,29856.6,40352.60945075866,22031.19248460738,36,36.93158291797372
21,Kentucky,2010,4346266,2139186,2207080,1017772,2907115,1279761,3756400,337303,130485,51540,8370,60288,1880,93776,954421,512185,1792710,365442,236778,27644.999999999996,37520.92813366921,18205.20776074285,38,37.80356517525618
22,Louisiana,2010,4544228,2226234,2317994,1117791,2944895,1406279,2740995,1449099,193686,70690,26089,57886,5783,104305,1054312,522798,1790935,420711,210451,28750.799999999996,40593.63281293834,20325.43545831217,35,36.58374469766921
23,Maine,2010,1327567,647657,679910,274005,937449,348687,1254151,15133,15946,15763,7177,19305,92,20004,272436,91079,594800,163550,88020,28750.799999999996,37799.36439803531,20830.49772572111,42,40.672701264794924
24,Maryland,2010,5785982,2802225,2983757,1350668,3871981,1705826,3159304,1685092,474088,320849,10392,125710,10547,443747,1336085,468390,2009541,762009,632041,42020.399999999994,55418.0208804708,30761.48260270059,37,37.476140091690574
25,Massachusetts,2010,6557254,3174399,3382855,1416775,4461566,1877204,5001555,411153,631180,352117,7389,113982,39878,507923,1520944,482431,2238218,986509,754408,38702.99999999999,53264.32370149589,29873.53585500284,39,38.61119059899159
