GEOID,year,d14,d16,state,st,poptotal,noncit,popu18,popu25,pop3o,pop324,vapacs,medage,incmed,incpc,gini,hs,ged,some1,some2,assoc,bacc,mast,prof,phd,enroll,pop_check,nothilat,white,black,amind,asian,hawpi,other,multi,hilat,white_prop,black_prop,amind_prop,asian_prop,hawpi_prop,other_prop,multi_prop,hilat_prop,nonwh_prop
40,2014,1,0,Oklahoma,OK,3878051,138443,952293,1348166,3719468,1189583,2787315,36.2,28548,25229,0.466,668381,133054,188500,420738,185914,405799,145813,36137,23619,997987,3878051,3499172,2597146,281252,276829,75854,4436,1856,261799,378879,0.6697039311757375,0.07252405912145043,0.07138353776162304,0.019559825283370434,0.0011438735591667052,0.00047859092105802633,0.06750787960240853,0.09769830257518532,0.33029606882426255
40,2016,0,1,Oklahoma,OK,3923561,139767,961956,1351925,3765877,1194241,2821838,36.4,30262,25880,0.4645,674289,128240,186546,417280,203590,432922,157183,35356,23204,1004589,3923561,3519625,2595562,281976,283500,78185,5717,4059,270626,403936,0.661532215250381,0.07186736742464307,0.07225579008456859,0.019927050962123438,0.0014570947157441926,0.0010345194072425533,0.06897458711614271,0.10295137503915448,0.338467784749619
41,2012,0,0,Oregon,OR,3899353,200239,860746,1227581,3766381,1094609,2838368,38.9,26782,26011,0.4565,545481,124698,227099,485355,219073,497130,212460,54182,35682,982675,3899353,3425198,3026649,66879,37023,147243,16013,4772,126619,474155,0.7761926145183573,0.017151306896297923,0.009494652061508665,0.03776087981775438,0.0041065787067752005,0.0012237927676719703,0.03247179724431207,0.12159837798732251,0.2238073854816427
41,2014,1,0,Oregon,OR,3970239,212993,858715,1223282,3837169,1090212,2898531,39.3,27367,27646,0.4624,541003,125775,223519,495115,231853,528064,224113,54432,39637,956494,3970239,3473448,3052407,68775,35628,157528,13483,5872,139755,496791,0.7688219777197293,0.017322634733072745,0.008973767070445886,0.03967720834942179,0.003396017217099525,0.001479004160706698,0.03520065164842721,0.12512873910109693,0.23117802228027073
41,2016,0,1,Oregon,OR,4093465,203733,868246,1235513,3955721,1097769,3021486,39.2,30897,30822,0.4583,526763,129130,235544,509988,244515,572508,247973,66154,47895,960446,4093465,3570897,3119464,75516,36097,167053,13830,5961,152976,522568,0.7620595265868891,0.018447940803207063,0.00881820169465233,0.040809680796098174,0.0033785558200693055,0.0014562235172402842,0.03737078489739133,0.1276590858844524,0.23794047341311086
42,2012,0,0,Pennsylvania,PA,12763536,335244,2737454,4007219,12347792,3591475,9690838,40.5,30690,27774,0.4642,2870894,349983,483219,958587,688751,1484305,665499,166599,119131,3108390,12763536,11982674,10035953,1340316,13403,366278,2336,13791,210597,780862,0.786298796822448,0.10501133855069629,0.0010501008497958559,0.028697219955347797,1.8302138216243525e-4,0.00108049994923037,0.0164998947000267,0.061179127790292595,0.21370120317755203
42,2014,1,0,Pennsylvania,PA,12787209,360664,2700178,3928344,12367779,3508914,9726367,40.7,31524,29220,0.4686,2871756,348571,477418,957508,700919,1554120,729846,159382,124377,3011245,12787209,11949722,9937668,1359575,16827,396372,2989,23044,213247,837487,0.7771569229845231,0.10632304516177064,0.0013159243741147893,0.03099753824309902,2.3374920985494177e-4,0.0018021133462352886,0.01667658673601096,0.0654941199443913,0.2228430770154769
42,2016,0,1,Pennsylvania,PA,12784227,369261,2674845,3862252,12360468,3438493,9740121,40.6,32465,31272,0.4689,2787677,344767,480857,950374,730217,1676971,765331,175633,129802,2975685,12784227,11884225,9832127,1351705,13312,420202,2446,19352,245081,900002,0.7690826359700903,0.10573224333391452,0.00104128313741613,0.03286878432305684,1.9132951878905155e-4,0.0015137403301740495,0.01917057636726882,0.07039940701929026,0.2309173640299097
44,2012,0,0,Rhode Island,RI,1050292,62692,216962,338021,1018856,306585,770638,39.8,31135,29389,0.4647,165835,32704,35237,93355,62628,132903,64882,14832,11126,275680,1050292,911742,791560,52500,3643,33246,201,8828,21764,138550,0.7536570782220563,0.04998609910386826,0.0034685592197217538,0.0316540543010896,1.913753508548099e-4,0.008405281578837123,0.020721856398030262,0.13191569582554186,0.2463429217779437
44,2014,1,0,Rhode Island,RI,1055173,63026,212555,329302,1024485,298614,779592,39.8,31319,30830,0.4827,173794,34572,37804,95861,59701,131408,61834,14100,13552,267358,1055173,907077,781398,58095,4386,34934,385,6084,21795,148096,0.7405401768240848,0.05505732235377516,0.00415666435740869,0.03310736722793324,3.648690783407081e-4,0.005765879149674982,0.020655380681651254,0.1403523403271312,0.2594598231759152
