year,state,st,county,fips,poptotal,pop16o,popu18,pop25o,pop324,pop60o,popnc,popnc18o,pophh,popinst,popogq,popmetro,malepop,femalepop,whitepop,blackpop,hisppop,aapipop,aianpop,multipop,otherpop,enroll,nohs,hsplus,bacc,grad,empop,unempop,cnoninst,hcnone,hcpub,hcpvt,earnmed,earnpc,incmed,incpc,maleprop,femaleprop,whiteprop,nonwhprop,blackprop,hispprop,aapiprop,aianprop,multiprop,otherprop,oldprop,uninsprop,pvtinsprop,metroprop,death,health_index,hsprop,baccprop,gradprop,attain_score,attain_index,enrollprop,enroll_index,ed_index,inc_index,hdi,ur.6mo,ur.oct,ur.trend,totalvotes,vap,vep,to.vap,to.vep,gini
2012,Alabama,AL,Jefferson County,01073,660859,524501,154733,442237,192920,128431,18954,16008,644657,7503,8699,660859,311600,349259,337015,280105,25848,10454,1377,5607,9860,147138,212428,306218,86933,55280,293741,27731,508567,83731,214659,362469,31349.999999999996,42307.25220283154,31381.35,44915.50779776705,0.47150753791656014,0.5284924620834399,0.5099650606256403,0.4900349393743597,0.42384986812618125,0.03911273055220554,0.015818805524325158,0.0020836517320638745,0.00848441195474375,0.014919975365395645,0.19433948845366408,0.12670024922108952,0.5484815974360643,1,10.809642200843152,3.417436588731266,1.0140060646214586,0.32157643978228867,0.12500084796161334,1.4605833523653606,6.403889015769071,0.762689197594858,4.648262788424515,5.818680273320885,4.66634012531061,4.527242764518029,7.733333333333333,7.1,-2.537191203734013e-4,303918,506126,482615,0.6004789321236214,0.6297317737741264,0.5103720439592716
2016,Alabama,AL,Jefferson County,01073,660095,526318,152124,449475,184828,141096,16839,16006,643677,6859,9559,660095,312313,347782,331075,278836,23918,7510,1102,16622,14373,148436,206470,297780,100195,55650,307849,19934,509981,54590,234237,371268,30500,45429.016519151424,35000,49289.5216229528,0.47313341261485087,0.5268665873851491,0.501556594126603,0.49844340587339697,0.42241798528999613,0.03623417841371318,0.011377150258674888,0.0016694566691158091,0.025181223914739544,0.02177413857096327,0.21375105098508548,0.08270021739295101,0.5624463145456335,1,10.802635843145728,3.4133152018504282,1.0092329940486122,0.34672673674842874,0.12381111296512598,1.479770843762167,6.531805625081114,0.8031034258878524,5.802955025367213,6.2888554251764806,5.422967602946497,4.882718331191663,5.816666666666666,5.9,7.051381889981362e-4,304191,507971,485106,0.5988353665858878,0.627060889784913,0.5443208158379939
2008,Alabama,AL,Lee County,01081,133137,108912,27107,77722,51237,18144,3041,2724,127864,595,4678,133137,66383,66754,98112,28726,2410,2506,432,951,334,41281,39985,64891,16555,11706,64388,4395,103639,12697,27139,93301,22324,33832.009414344386,26230.7,38844.78860664937,0.49860669836334004,0.50139330163666,0.7369251222425021,0.26307487775749794,0.21576271059134575,0.01810165468652591,0.018822716449972583,0.0032447779355100387,0.007143018094143626,0.0025086940519915574,0.13628067329142163,0.0953679292758587,0.7007894124097734,1,11.617100371747213,3.892411983380714,1.1985280872854533,0.3636164792465454,0.15061372584339056,1.7127582923753892,8.085055282502594,0.8056872962897906,5.876779893994018,7.348963486333068,3.423370055376209,4.609278107182656,5.4,5.5,0.005223348188043423,54325,106030,102711,0.5123549938696595,0.5289112169095812,0.5066463733134061
2012,Alabama,AL,Lee County,01081,147540,117726,32217,84303,57959,22565,4598,4415,142313,916,4311,147540,72258,75282,101969,32777,5335,4261,467,2731,4051,50077,44942,70362,19287,12949,66788,5316,112507,15000,36081,96459,20900,35874.804671206104,23721.5,37883.53338528466,0.4897519316795445,0.5102480683204554,0.6911278297410871,0.3088721702589129,0.22215670326691067,0.0361596855090145,0.028880303646468753,0.0031652433238443813,0.018510234512674528,0.027456960824183273,0.15294157516605666,0.101667344448963,0.6537820252135014,1,11.944577161968466,4.0850453893932155,1.217014815605613,0.3823825961116449,0.15360070222886493,1.752998113946123,8.35332075964082,0.8640073155161407,7.543066157604023,8.083235892295221,2.7262666593023854,4.481776109743314,7.1,6.4,4.207718085400236e-4,54359,115323,109992,0.4713630411973327,0.4942086697214343,0.5489528870453914
2016,Alabama,AL,Lee County,01081,158607,129202,32836,96219,56408,25538,6868,6271,153169,631,4807,158607,79813,78794,107097,36635,6008,6320,0,2547,923,47657,45370,73729,24601,14907,77753,4011,123772,10701,41058,106848,25700,34104.99517645211,27000,37276.23799160927,0.503212342456512,0.49678765754348797,0.6752350148480206,0.3247649851519794,0.23097971716254642,0.03787979092978242,0.03984691722307338,0,0.0160585598365772,0.0058194152843191035,0.161014331019438,0.06746864892470067,0.6736650967485672,1,13.217023526301876,4.83354325076581,1.1768673546804684,0.41060497406957047,0.15492782090855237,1.7424001496585912,8.282667664390608,0.8448624308608708,6.9960694531677365,7.853801593982984,3.62377787145022,5.162210396616224,5.35,5.2,4.383563020312313e-4,59191,125771,118869,0.470625183865915,0.49795152647031604,0.49643094385064224
2008,Alabama,AL,Mobile County,01097,406412,311903,106891,260286,129194,71963,6686,5686,397626,4429,4357,406412,195028,211384,245613,139758,5756,8267,2216,4117,1610,99047,155677,198971,33899,17865,180847,15400,303354,62293,120449,223670,27905.000000000004,38666.91964295768,32369.800000000003,41450.15209607774,0.4798775626703936,0.5201224373296064,0.604344852022086,0.395655147977914,0.34388256252276017,0.014162967628908596,0.020341426926370285,0.005452594903693789,0.01013011426827948,0.0039614971998858306,0.17706908260582857,0.15327549383384348,0.5503528439120892,1,10.175010175010176,3.0441236323589265,0.9633057482922631,0.19887354679083777,0.06863603881883774,1.2308153339019388,4.872102226012925,0.7666532501509358,4.76152143288388,4.8352419616365765,4.881347001041117,4.157255596106857,5.933333333333334,6.3,0.00722370992619521,181424,299521,289406,0.6057137896841958,0.6268840314298944,0.49451347800071344
2012,Alabama,AL,Mobile County,01097,413342,322705,101551,269500,126567,80735,8713,7765,403097,7375,2870,413342,197753,215589,241627,143360,10815,8377,4516,4647,1119,94956,155136,196547,39628,22031,165457,25342,312473,69512,145801,198029,26125,35998.28922943523,28214.999999999996,38901.08183160876,0.4784246459348433,0.5215753540651566,0.5845691945168892,0.41543080548311084,0.3468314374053447,0.026164773964416875,0.020266510540908014,0.010925577366926177,0.011242506205515045,0.00270720130061789,0.1953225174310861,0.16817066738923217,0.47909237386958015,1,10.333781130515655,3.1375183120680328,0.9580927643784787,0.22879035250463822,0.08174768089053804,1.2686307977736548,5.124205318491032,0.750242954324587,4.292655837845343,4.847022158275802,3.9289467028228895,3.9094212621811892,9.533333333333333,8.7,4.4488768532799383e-4,174864,311791,296651,0.560837227501756,0.5894603422877388,0.4944091255521833
2016,Alabama,AL,Mobile County,01097,415126,330847,97704,278982,119873,88468,5655,5431,404678,7016,3432,415126,196800,218326,237163,147559,11551,7408,3255,7297,4725,92294,141347,206657,45761,21361,177163,12242,320419,49518,155399,210209,28000,40180.2196130158,30000,42412.81287454691,0.4740729320736355,0.5259270679263646,0.571303652385059,0.428696347614941,0.3554559338610446,0.027825286780399205,0.017845184353666117,0.007840992855181318,0.017577795657222145,0.011382086402682559,0.21311119997302025,0.11928426550011322,0.5063739683855022,1,10.58873358746294,3.287490345566435,0.9813500512577873,0.24059616749467708,0.07656766386361843,1.2985138826160827,5.323425884107218,0.7699315108489818,4.855186024256624,5.167345930823686,4.354241763469901,4.197733409875419,6.666666666666667,6.7,9.872437060074748e-5,172737,317422,304975,0.5441872333990713,0.566397245675875,0.49815417161758424
2008,Alabama,AL,Shelby County,01117,187828,141253,52156,118348,61194,25818,7639,5279,186685,316,827,187828,92210,95618,156750,17960,7993,1913,492,2720,2280,48258,64080,68877,38145,16726,95806,4511,140110,13483,27896,146449,42415.600000000006,57895.56287433163,44648,62656.21070880408,0.4909278701791,0.5090721298209,0.8345401111655344,0.1654598888344656,0.09561939646911004,0.042554890644632325,0.010184849969120684,0.0026194177651894285,0.014481333986413101,0.012138765253316865,0.13745554443426966,0.07178375960985582,0.7796973827118427,1,13.65001365001365,5.088243323537442,1.0456281474972116,0.4636411261702775,0.141328962044141,1.65059823571163,7.670654904744199,0.7886067261496225,5.388763604274929,6.910024471254442,7.11088454860616,6.299755506127541,3.8666666666666667,4.1,0.004594074528107456,90643,135672,130077,0.6681039566012147,0.6968411018089286,0.5091238130993023
2012,Alabama,AL,Shelby County,01117,200834,156526,50046,135221,59297,34925,8659,7328,198238,1571,1025,200834,97648,103186,159154,22893,12014,4682,721,1370,7267,47942,64824,81423,36506,18081,102572,5087,153930,17259,46762,136813,36575,50148.56499765436,37620,52925.34985078127,0.4862124939004352,0.5137875060995648,0.7924654192019279,0.20753458079807208,0.11398966310485277,0.05982054831353257,0.023312785683698975,0.0035900295766653056,0.006821554119322426,0.03618411225190954,0.17389983767688738,0.08593664419371222,0.681224294691138,1,13.783597518952446,5.166822069972027,1.0058348925092997,0.4036872970914281,0.13371443784619252,1.5432366274469203,6.954910849646136,0.8085063325294702,5.957323786556294,6.622381828616188,5.92344497378694,5.874046235432753,5.2,4.9,1.728304503137543e-4,92507,150788,141889,0.6134904634321033,0.6519673829542811,0.5025129180992597
2016,Alabama,AL,Shelby County,01117,210713,166505,49858,144939,58921,43364,6541,6393,207777,1161,1775,210713,104258,106455,164723,24670,12090,4599,501,3499,7283,46583,64603,85535,38841,21734,103449,5363,163569,15118,49811,145784,40000,51380.03319848114,41000,54963.13597004862,0.4947867478513428,0.5052132521486572,0.7817410411317764,0.21825895886822355,0.11707868048008428,0.057376621281079,0.02182589588682236,0.0023776416262878894,0.016605525050661325,0.034563600727055284,0.20579650994480644,0.07174687845552956,0.6918604927080911,1,14.543339150668993,5.613728912158232,1.0080792609304603,0.4179344413856864,0.1499527387383658,1.5759664410545127,7.173109607030085,0.7906009741857741,5.445742119593548,6.597320444551238,6.519933785568148,6.227122371971983,4.366666666666667,4.4,6.802686910605359e-4,101254,160855,153301,0.6294737496503062,0.6604914514582423,0.517967954524321
2008,Arizona,AZ,Coconino County,04005,128339,98895,33086,76884,45923,15461,4517,4152,122896,1313,4130,128339,64325,64014,71540,1256,14699,1656,36541,2516,3592,35927,44110,57717,17074,9438,64537,3869,93452,31907,31888,64544,27905.000000000004,34697.35541689577,29021.2,37139.38048807154,0.5012116348109305,0.49878836518906955,0.557429931665355,0.44257006833464496,0.009786580852274055,0.11453260505380282,0.01290332634662885,0.2847224927730464,0.01960432915949166,0.027988374539306058,0.12047000522054871,0.2486149962209461,0.5029180529690896,1,13.017443374121322,4.716143161247837,1.095533531033765,0.34483117423651216,0.12275636023099734,1.5631210655012746,7.087473770008498,0.7823312936872591,5.209465533921689,6.461471024646228,4.12426889339789,5.009047128844214,5.683333333333334,6,0.006270881586020687,54344,95253,89788,0.570522713195385,0.6052479173163452,0.4874759373291574
2012,Arizona,AZ,Coconino County,04005,136531,109141,30681,79424,52321,19225,3258,3105,126805,640,9086,136531,66506,70025,75486,1944,18695,2097,35094,3147,5280,40735,42928,67625,15635,10343,66118,5947,99415,27544,38205,70782,21213.5,34935.25744474021,23512.5,37931.54020570735,0.4871128168694289,0.5128871831305711,0.5528854252880299,0.44711457471197014,0.014238524584160374,0.1369286096197933,0.015359149204210033,0.25704052559491986,0.023049710322197887,0.038672535907596076,0.1408105118983967,0.2017417289846262,0.5184317114794442,1,13.908205841446453,5.240121083203796,1.178522864625302,0.32707997582594683,0.13022512087026591,1.6358279613215148,7.572186408810099,0.7785592783012557,5.101693665750164,6.7486888277901205,2.6649123238785326,4.550731551549064,8.416666666666666,7.8,-0.0035699033857685995,51731,105850,102105,0.4887198866320265,0.506645120219382,0.571594117838886
2016,Arizona,AZ,Coconino County,04005,140682,115381,28820,81744,54054,24898,2391,2391,126266,629,13787,140682,70674,70008,76907,2152,19318,2683,35393,3927,2793,44529,38625,71475,17604,12978,64557,6582,100965,14302,48620,77760,24000,30809.061762467918,25000,33398.77798269258,0.5023670405595598,0.4976329594404401,0.5466726375797899,0.4533273624202101,0.015296910763281728,0.13731678537410613,0.019071380844742043,0.2515815811546609,0.027914018851025717,0.01985328613468674,0.1769807082640281,0.10166190415262791,0.5527359576918156,1,14.654161781946073,5.6789186952623965,1.248495302407516,0.37411920140927774,0.15876394597768645,1.7813784497944802,8.542522998629869,0.8237873237873238,6.39392353678068,7.826323178013472,3.090207384525532,5.159453287974025,5.983333333333333,5.8,-0.0017298117454367836,59784,111862,108842,0.5344442259212243,0.5492732584847762,0.5106237591804317
2008,Arizona,AZ,Maricopa County,04013,3955069,2967591,1095338,2516149,1233734,629179,480214,420424,3915990,19068,20011,3955069,1993171,1961898,2318452,164794,1227150,117784,63584,57069,244206,912306,1576283,1666122,467302,245362,1888037,106061,2930037,719950,1041738,2193381,33486,47524.39924248931,35718.4,50600.92048535167,0.5039535340597092,0.4960464659402908,0.5861976112174023,0.4138023887825977,0.04166652971161818,0.31027271584895233,0.029780517103494275,0.01607658425175389,0.014429331068560371,0.06174506690022349,0.1590816746812761,0.18203222244668804,0.5545746483816085,1,14.388489208633095,5.522640710960643,0.9454074460614217,0.28323600867834137,0.09751489279847894,1.3261583475382421,5.507722316921614,0.7394673406098884,3.9847811602825263,5.000075264708585,5.563831499801516,5.35589967759335,5.733333333333333,6.4,0.009495626485261494,1364962,2859731,2420239,0.4773043338691646,0.5639781856254692,0.504081090131558
2012,Arizona,AZ,Maricopa County,04013,3940763,3038930,1012414,2545450,1235059,712281,366675,334305,3892333,23250,25180,3940763,1947936,1992827,2277440,195014,1181265,150865,57798,73481,222350,929418,1415701,1720533,520579,283950,1769917,167268,2991129,692213,1206363,2042187,31349.999999999996,44591.719218122416,34067,47320.36488581813,0.4943042755933305,0.5056957244066694,0.5779185401405769,0.42208145985942314,0.049486355814851085,0.2997554026973964,0.03828319541164998,0.014666702869469694,0.01864638903684388,0.056423083550063785,0.1807469771716797,0.17565456232714324,0.5182212175662428,1,15.28584530724549,6.0504972395561705,0.9919904142685969,0.31606552868844406,0.11155198491425877,1.4196079278712996,6.130719519141997,0.7525292313970425,4.357978039915501,5.5398056927331645,5.235645798908792,5.598675362677068,7.433333333333334,6.9,-0.0011367119006827806,1376558,2928349,2570794,0.4700798982634925,0.5354602508018923,0.5027013369276172
2016,Arizona,AZ,Maricopa County,04013,4243458,3322633,1037366,2812346,1274055,854850,383955,354972,4190328,26503,26627,4243458,2100146,2143312,2373312,224751,1302850,174339,64952,95474,368850,953713,1456390,1856519,607057,323492,1993237,115889,3270049,444624,1508795,2290039,32000,46523.86517331098,35000,49389.68367941131,0.4949138179286799,0.5050861820713202,0.5592872605313873,0.44071273946861267,0.052964115586863356,0.3070255437899939,0.0410841818158681,0.015306384557122988,0.02249910332563678,0.08692203386954696,0.20145126922429774,0.10477869699664755,0.5396634065896257,1,15.211439002129602,6.006728824782118,0.9910117745113866,0.33087998418402287,0.11502567607257429,1.4369174347679838,6.2461162317865595,0.7485650148541468,4.2447147101184814,5.578982391230533,5.422967602946497,5.6642621150338774,4.7,4.5,-4.546847602733247e-5,1567834,3206092,2824617,0.4890171585843451,0.5550607392081829,0.5177266041834843
2008,Arizona,AZ,Pima County,04019,1012019,801991,239175,672110,298691,205738,80068,70362,986845,11493,13681,1012019,496129,515890,573782,31495,337962,24682,28187,14341,82119,225815,344125,470920,117474,79500,470821,37039,776817,162023,346466,503530,27905.000000000004,38890.53866802961,30360.640000000003,42608.46589433944,0.4902368433794227,0.5097631566205773,0.5669676162206441,0.43303238377935593,0.031120957215230147,0.3339482756746662,0.02438887016943358,0.027852243880796705,0.014170682566236405,0.08114373346745467,0.20329460217644135,0.16009877284912635,0.49754994718478607,1,13.704262025489927,5.120154132641134,0.9937272172709825,0.2930680989718945,0.11828420943000402,1.405079525672881,6.033863504485874,0.7560154139227496,4.457583254935705,5.508436754635817,4.437088630078306,5.001917242604333,6.183333333333334,6.7,0.00924266098603771,393428,772844,690989,0.509065218853999,0.5693694110904804,0.5086389624893188
2012,Arizona,AZ,Pima County,04019,991745,794524,221647,665246,292110,226923,68313,63094,966555,12936,12254,991745,488910,502835,538323,33383,351805,25068,22991,19419,91941,220232,318529,463884,129186,80146,424341,46177,769677,153644,375801,462300,26125,37599.820442042284,28528.499999999996,40770.740023967395,0.4929795461534971,0.5070204538465028,0.5428038457466385,0.45719615425336146,0.03366087048586078,0.35473332358620413,0.025276658818547106,0.023182370468215117,0.01958063816807748,0.09270629042747884,0.2288118417536766,0.1549228884441061,0.46614805217066885,1,14.096419509444603,5.350835005555648,1.0119805305105178,0.3146685586985867,0.12047573378870373,1.4471248229978082,6.314165486652055,0.753935161411797,4.398147468908485,5.675492814070864,4.0055551580552775,4.954836004480498,7.55,7,-6.667035103673152e-4,382250,770098,694068,0.4963653976506886,0.5507385443501213,0.5131272668006872
2016,Arizona,AZ,Pima County,04019,1016373,823499,217418,676079,306302,260835,75629,68960,985994,15344,15035,1016373,499828,516545,533418,29444,374086,28654,23965,26239,96461,232783,311644,477906,131295,95528,438100,40321,793364,92521,433279,490573,26000,38964.43658862606,29000,42188.068784429684,0.49177614911061196,0.508223850889388,0.5248250396262002,0.4751749603737998,0.028969679438552578,0.3680597575889954,0.02819240574080579,0.023578941982913753,0.025816309563516545,0.09490708627639656,0.2566331455085879,0.09103055669522901,0.4826702401578948,1,14.465499783017504,5.567941048833827,1.0423767044975514,0.33549777466834496,0.14129709693689643,1.5191715761027929,6.79447717401862,0.7599787138183884,4.570820394811099,6.053258247616112,4.119202486868895,5.178043055887343,5.083333333333333,4.8,1.2560352493702e-5,421640,798955,714651,0.527739359538397,0.5899942769267796,0.5148135439079897
2008,Arizona,AZ,Yavapai County,04025,215449,176779,43398,156085,52486,61773,9406,8624,213019,1629,801,0,105214,110235,175843,1781,28450,1382,4373,3278,7345,36567,63405,114939,23232,13873,94509,8036,174349,44678,90100,80671,26119.08,34823.61202089269,27905.000000000004,39641.10146984041,0.48834759038101827,0.5116524096189817,0.8161699520536183,0.1838300479463817,0.008266457491099981,0.13204981225255163,0.0064145110907917885,0.020297146888590804,0.015214737594511927,0.03409159476256562,0.28671750623117304,0.2073715821377681,0.374432000148527,0,13.709898546750754,5.123469733382796,0.9741102604350194,0.23772303552551494,0.08888105839766794,1.3007143543582023,5.338095695721349,0.6967000724002591,2.762859211435975,4.4796835342928905,3.852351898697753,4.454980632511562,6.45,7.4,0.010518792799400928,99648,172051,161798,0.5791771044632115,0.6158790590736597,0.49685622597244083
