fips,year,period,periodName,value,seriesID
01073,2015,M10,October,5.7,LAUCN010730000000003
01073,2015,M09,September,5.7,LAUCN010730000000003
01073,2015,M08,August,6.1,LAUCN010730000000003
01073,2015,M07,July,6.1,LAUCN010730000000003
01073,2015,M06,June,6.2,LAUCN010730000000003
01073,2015,M05,May,5.6,LAUCN010730000000003
01073,2015,M04,April,5.3,LAUCN010730000000003
01073,2015,M03,March,5.5,LAUCN010730000000003
01073,2015,M02,February,5.9,LAUCN010730000000003
01073,2015,M01,January,5.9,LAUCN010730000000003
01073,2014,M12,December,5.4,LAUCN010730000000003
01073,2014,M11,November,5.6,LAUCN010730000000003
01073,2014,M10,October,5.8,LAUCN010730000000003
01073,2014,M09,September,5.9,LAUCN010730000000003
01073,2014,M08,August,6.5,LAUCN010730000000003
01073,2014,M07,July,6.8,LAUCN010730000000003
01073,2014,M06,June,6.8,LAUCN010730000000003
01073,2014,M05,May,6.1,LAUCN010730000000003
01073,2014,M04,April,5.8,LAUCN010730000000003
01073,2014,M03,March,6.7,LAUCN010730000000003
01073,2014,M02,February,7.1,LAUCN010730000000003
01073,2014,M01,January,7,LAUCN010730000000003
01073,2013,M12,December,6.2,LAUCN010730000000003
01073,2013,M11,November,6.2,LAUCN010730000000003
01073,2013,M10,October,6.5,LAUCN010730000000003
01073,2013,M09,September,6.6,LAUCN010730000000003
01073,2013,M08,August,7,LAUCN010730000000003
01073,2013,M07,July,6.9,LAUCN010730000000003
01073,2013,M06,June,7.1,LAUCN010730000000003
01073,2013,M05,May,6.1,LAUCN010730000000003
01073,2013,M04,April,5.8,LAUCN010730000000003
01073,2013,M03,March,6.6,LAUCN010730000000003
01073,2013,M02,February,7.3,LAUCN010730000000003
01073,2013,M01,January,7.5,LAUCN010730000000003
01073,2012,M12,December,6.7,LAUCN010730000000003
01073,2012,M11,November,6.4,LAUCN010730000000003
01073,2012,M10,October,7.1,LAUCN010730000000003
01073,2012,M09,September,7.1,LAUCN010730000000003
01073,2012,M08,August,8,LAUCN010730000000003
01073,2012,M07,July,8.4,LAUCN010730000000003
01073,2012,M06,June,8.4,LAUCN010730000000003
01073,2012,M05,May,7.4,LAUCN010730000000003
01073,2012,M04,April,6.7,LAUCN010730000000003
01073,2012,M03,March,7.5,LAUCN010730000000003
01073,2012,M02,February,7.9,LAUCN010730000000003
01073,2012,M01,January,7.7,LAUCN010730000000003
01073,2011,M12,December,7.5,LAUCN010730000000003
